#Nodes (id	xPos	yPos)
75	196.86047402353435	150.0986635785864
76	200.0	150.0
77	203.13952597646565	150.0986635785864
78	206.2666616782152	150.39426493427612
79	209.3690657292862	150.88563746356556
80	212.43449435824274	151.57084194356844
81	215.45084971874735	152.44717418524232
82	218.40622763423391	153.51117570558745
83	221.2889645782536	154.758647376699
84	224.08768370508574	156.1846659978068
85	226.7913397489498	157.78360372489922
86	229.38926261462365	159.54915028125262
87	231.87119948743447	161.47433786121053
88	234.22735529643444	163.55156862892943
89	236.44843137107057	165.77264470356556
90	238.52566213878947	168.12880051256553
91	240.45084971874735	170.61073738537635
92	242.21639627510075	173.2086602510502
93	243.8153340021932	175.91231629491423
94	245.241352623301	178.71103542174637
95	246.48882429441255	181.59377236576606
96	247.55282581475768	184.54915028125262
97	248.42915805643156	187.56550564175723
98	249.11436253643444	190.63093427071377
99	249.60573506572388	193.73333832178477
100	249.9013364214136	196.86047402353432
#Nodes (id	xPos	yPos)
1	250.0	200.0
2	249.9013364214136	203.13952597646568
3	249.60573506572388	206.2666616782152
4	249.11436253643444	209.36906572928623
5	248.42915805643156	212.43449435824274
6	247.55282581475768	215.45084971874738
7	246.48882429441258	218.4062276342339
8	245.24135262330097	221.28896457825363
9	243.8153340021932	224.08768370508577
10	242.21639627510075	226.79133974894984
11	240.45084971874738	229.38926261462365
12	238.52566213878947	231.87119948743447
13	236.44843137107057	234.22735529643444
14	234.22735529643444	236.44843137107057
15	231.87119948743447	238.52566213878947
16	229.38926261462365	240.45084971874735
17	226.79133974894984	242.21639627510075
18	224.08768370508577	243.8153340021932
19	221.28896457825363	245.24135262330097
20	218.40622763423391	246.48882429441255
21	215.45084971874738	247.55282581475768
22	212.43449435824274	248.42915805643156
23	209.36906572928623	249.11436253643444
24	206.2666616782152	249.60573506572388
25	203.13952597646568	249.9013364214136
26	200.0	250.0
27	196.86047402353432	249.9013364214136
28	193.73333832178477	249.60573506572388
29	190.63093427071377	249.11436253643444
30	187.56550564175728	248.42915805643156
31	184.54915028125262	247.55282581475768
32	181.59377236576609	246.48882429441255
33	178.71103542174637	245.24135262330097
34	175.91231629491423	243.81533400219317
35	173.20866025105016	242.21639627510075
36	170.61073738537635	240.45084971874738
37	168.12880051256553	238.52566213878947
38	165.77264470356556	236.44843137107057
39	163.55156862892943	234.22735529643444
40	161.47433786121053	231.8711994874345
41	159.54915028125265	229.38926261462365
42	157.78360372489925	226.79133974894984
43	156.18466599780683	224.0876837050858
44	154.75864737669903	221.28896457825365
45	153.51117570558745	218.40622763423391
46	152.44717418524232	215.45084971874738
47	151.57084194356844	212.43449435824274
48	150.88563746356556	209.36906572928626
49	150.39426493427612	206.26666167821523
50	150.0986635785864	203.13952597646568
51	150.0	200.0
52	150.0986635785864	196.86047402353432
53	150.39426493427612	193.73333832178477
54	150.88563746356556	190.63093427071377
55	151.57084194356844	187.56550564175726
56	152.44717418524232	184.54915028125262
57	153.51117570558745	181.59377236576609
58	154.758647376699	178.71103542174637
59	156.1846659978068	175.91231629491426
60	157.78360372489925	173.2086602510502
61	159.54915028125262	170.61073738537635
62	161.47433786121053	168.12880051256553
63	163.55156862892943	165.77264470356556
64	165.77264470356556	163.55156862892943
65	168.12880051256553	161.47433786121053
66	170.61073738537635	159.54915028125265
67	173.2086602510502	157.78360372489925
68	175.91231629491423	156.1846659978068
69	178.7110354217464	154.758647376699
70	181.59377236576609	153.51117570558745
71	184.54915028125262	152.44717418524232
72	187.56550564175723	151.57084194356844
73	190.63093427071377	150.88563746356556
74	193.73333832178477	150.39426493427612
75	196.86047402353435	150.0986635785864
76	200.0	150.0
77	203.13952597646565	150.0986635785864
78	206.2666616782152	150.39426493427612
79	209.3690657292862	150.88563746356556
80	212.43449435824274	151.57084194356844
81	215.45084971874735	152.44717418524232
82	218.40622763423391	153.51117570558745
83	221.2889645782536	154.758647376699
84	224.08768370508574	156.1846659978068
85	226.7913397489498	157.78360372489922
86	229.38926261462365	159.54915028125262
87	231.87119948743447	161.47433786121053
88	234.22735529643444	163.55156862892943
89	236.44843137107057	165.77264470356556
90	238.52566213878947	168.12880051256553
91	240.45084971874735	170.61073738537635
92	242.21639627510075	173.2086602510502
93	243.8153340021932	175.91231629491423
94	245.241352623301	178.71103542174637
95	246.48882429441255	181.59377236576606
96	247.55282581475768	184.54915028125262
97	248.42915805643156	187.56550564175723
98	249.11436253643444	190.63093427071377
99	249.60573506572388	193.73333832178477
100	249.9013364214136	196.86047402353432
#Connection (nodeId1	nodeId2	domainId	bsolver	cdesolver	...)
1	2	1
2	3	1
3	4	1
4	5	1
5	6	1
6	7	1
7	8	1
8	9	1
9	10	1
10	11	1
11	12	1
12	13	1
13	14	1
14	15	1
15	16	1
16	17	1
17	18	1
18	19	1
19	20	1
20	21	1
21	22	1
22	23	1
23	24	1
24	25	1
25	26	1
26	27	1
27	28	1
28	29	1
29	30	1
30	31	1
31	32	1
32	33	1
33	34	1
34	35	1
35	36	1
36	37	1
37	38	1
38	39	1
39	40	1
40	41	1
41	42	1
42	43	1
43	44	1
44	45	1
45	46	1
46	47	1
47	48	1
48	49	1
49	50	1
50	51	1
51	52	1
52	53	1
53	54	1
54	55	1
55	56	1
56	57	1
57	58	1
58	59	1
59	60	1
60	61	1
61	62	1
62	63	1
63	64	1
64	65	1
65	66	1
66	67	1
67	68	1
68	69	1
69	70	1
70	71	1
71	72	1
72	73	1
73	74	1
74	75	1
75	76	1
76	77	1
77	78	1
78	79	1
79	80	1
80	81	1
81	82	1
82	83	1
83	84	1
84	85	1
85	86	1
86	87	1
87	88	1
88	89	1
89	90	1
90	91	1
91	92	1
92	93	1
93	94	1
94	95	1
95	96	1
96	97	1
97	98	1
98	99	1
99	100	1
100	1	1
